source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
763,1789484859.0733008,46759.9052276,231,0,e70000008e63c610c24058049bc44111d63932a4
764,1789484859.0740154,46759.9059421,231,1,e70001002811160a9e2c5d9aac7762b45d644d9d
765,1789484859.0747895,46759.9067165,231,2,e7000200b2e152e120fee99b0000e7005d644d9d
766,1789484859.0933173,46759.9252441,232,0,e8000000b6647f617b4760bbcc5dad3484d230d2
767,1789484859.0940344,46759.9259613,232,1,e8000100955e2cfd57fec005286c6f9634213289
768,1789484859.0947788,46759.9267056,232,2,e8000200fa75e11f003bbd410000e80034213289
769,1789484859.1133409,46759.9452677,233,0,e90000005a747dcc1e1b7c3f0bdbaf8e5f66334f
770,1789484859.1140604,46759.9459871,233,1,e90001005db7db4cf6e65e513169b80b08e5b745
771,1789484859.114799,46759.9467258,233,2,e9000200011cbf464c09e9fb0000e90008e5b745
772,1789484859.1333406,46759.9652676,234,0,ea000000366c6c01bf25dfaa044ece0ede7a8e77
773,1789484859.1340446,46759.9659714,234,1,ea0001000587724d4311e16c296a0ec324c40374
774,1789484859.134805,46759.9667319,234,2,ea000200d43636124f1be9570000ea0024c40374
775,1789484859.1533298,46759.9852566,235,0,eb000000b664686003c99ce6b2938d87cf107358
776,1789484859.1540375,46759.9859644,235,1,eb000100ec65c751ff6e416844587c069d2c2475
777,1789484859.1547766,46759.9867033,235,2,eb000200bb806d78231ee91b0000eb009d2c2475
778,1789484859.173341,46760.0052678,236,0,ec0000007663340d5634f60d41b4dc737eff7c13
779,1789484859.174017,46760.0059438,236,1,ec00010011a4dea6506e9bd6a5b5b27c8bdf0682
780,1789484859.174799,46760.0067256,236,2,ec00020037131c7dc01b31ed0000ec008bdf0682
781,1789484859.1933134,46760.02524,237,0,ed000000ce59862376287311f5a510148e94b31e
782,1789484859.1940355,46760.0259623,237,1,ed0001007e4d3a86342d2e041f034d33b605337d
783,1789484859.1948001,46760.0267268,237,2,ed0002002034e62874f169980000ed00b605337d
784,1789484859.213312,46760.0452389,238,0,ee0000008e63c604bda845772580be72224b9a8f
785,1789484859.214041,46760.0459678,238,1,ee000100bdf8c0306287bc8e353f0ce503e12add
786,1789484859.214777,46760.0467038,238,2,ee000200221008a80efee95b0000ee0003e12add
787,1789484859.2333872,46760.0653141,239,0,ef000000d66bded755113e98075286465cf5c324
788,1789484859.2340627,46760.0659894,239,1,ef0001009844924c1444faff2779532a5210f7d9
789,1789484859.2348216,46760.0667485,239,2,ef0002009c9aaa713a7ae96b0000ef005210f7d9
790,1789484859.2533445,46760.0852713,240,0,f00000007663ea461396e8f090ab218be5c2194f
791,1789484859.254056,46760.0859827,240,1,f00001006285154048de53f63331da24da087aaf
