source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
383,1789484798.8823485,46699.7142752,107,2,6b0002009a1ab0aca65e622905006b0094a6a44e
384,1789484798.9008002,46699.732727,108,0,6c0000002dd7bb3136e982f8518632e7b4b19688
385,1789484798.9015126,46699.7334396,108,1,6c000100dd1e919ea41fe420d41b386b1dda839e
386,1789484798.9022894,46699.7342163,108,2,6c000200873d76017771bb7d05006c001dda839e
387,1789484798.9208243,46699.7527512,109,0,6d00000027cc7f0497e0512ecb8fccc5a9e94f34
388,1789484798.9215076,46699.7534344,109,1,6d000100b9737dad121bc67cdeb0347f4e091a2c
389,1789484798.9222715,46699.7541981,109,2,6d0002006da6473cbd3be9fb05006d004e091a2c
390,1789484798.9407916,46699.7727183,110,0,6e0000001ccce28e2cef97c2a6300c1ce9009b29
391,1789484798.9415069,46699.7734335,110,1,6e00010005f0141044950f89de91c42493a485a0
392,1789484798.9422772,46699.7742038,110,2,6e000200d4490a289439e9fb04006e0093a485a0
393,1789484798.9608097,46699.7927366,111,0,6f00000074cc7f93983a85c353161087cf9e1f5d
394,1789484798.9615147,46699.7934415,111,1,6f0001000d2f9c0e1f74d4347e8fdb0e4f7d4f63
395,1789484798.962288,46699.7942147,111,2,6f000200ab538313ba6fe9a304006f004f7d4f63
396,1789484798.9808235,46699.8127503,112,0,70000000fdc481e5042e12bf5a81c5c169582303
397,1789484798.9815187,46699.8134456,112,1,70000100bfb64a6fafe185e89ac0afd1799681a3
398,1789484798.9822867,46699.8142135,112,2,700002003fbb7ca37025e9fb03007000799681a3
399,1789484799.0008132,46699.8327401,113,0,71000000f1c4f8e1869905fcdcd62e264bf4115e
400,1789484799.001517,46699.8334439,113,1,7100010081805b6e11ccfb419973c33fe29a3762
401,1789484799.0022898,46699.8342164,113,2,71000200e3fdf00c8f5bb96805007100e29a3762
402,1789484799.0208302,46699.852757,114,0,720000007dc4032c23042fe118a763763ab85375
403,1789484799.0215106,46699.8534375,114,1,7200010037afd3e446689c4fed45f8ccd44f121e
404,1789484799.0222907,46699.8542176,114,2,720002007fdaac4d9499e97b03007200d44f121e
405,1789484799.040816,46699.872743,115,0,7300000054bc2384403ca7ee0f65be1c502c9f55
406,1789484799.0415154,46699.8734421,115,1,7300010076efef6e70b495f5cd583f60f13cb263
407,1789484799.042308,46699.8742348,115,2,73000200b390554dd48201c802007300f13cb263
408,1789484799.0609014,46699.8928281,116,0,74000000edbc7f2c4c481e3f3c44970894a7efa2
409,1789484799.0615487,46699.8934757,116,1,74000100a8e556f08f6203fc2edd628f354e3587
410,1789484799.0623047,46699.8942315,116,2,74000200fc10861e0b3ee97b03007400354e3587
411,1789484799.0809104,46699.9128371,117,0,7500000015b39cb4b62954c97a7392c4293511df
412,1789484799.0815759,46699.9135027,117,1,750001009bb7f7a03906c60d5994b43d45789f06
413,1789484799.0822873,46699.9142142,117,2,750002000ebc998f951ae9fb0300750045789f06
414,1789484799.100808,46699.9327347,118,0,7600000013b2ebb456ee2133de53eda650725143
415,1789484799.101525,46699.9334519,118,1,76000100372450e4e02c5b89c850ce2456e76d3e
416,1789484799.1022635,46699.9341904,118,2,76000200c40045bcbf3977fc0100760056e76d3e
417,1789484799.1208327,46699.9527596,119,0,77000000e1ac0a0503af5a1159499730556d1eb3
418,1789484799.121519,46699.9534458,119,1,770001000deef5d5ccfc3d7a21a7668f13a757ca
419,1789484799.1222851,46699.9542119,119,2,770002003fac2122127e39040100770013a757ca
420,1789484799.140793,46699.97272,120,0,78000000e3ac0b01c6b6563ea3103a72cd88ec5a
421,1789484799.1415591,46699.9734859,120,1,78000100794b87769db8d88f28b8191bee3986e0
422,1789484799.1422942,46699.974221,120,2,780002000e059b02e231e9f301007800ee3986e0
423,1789484799.1608615,46699.9927883,121,0,790000001cac2b3654a1771779829326383fa6dc
424,1789484799.1614885,46699.9934154,121,1,790001001f61479e1eaf1e3acf2852e69efdb3df
425,1789484799.1622927,46699.9942195,121,2,79000200841e70a3e23f937c010079009efdb3df
426,1789484799.1808858,46700.0128126,122,0,7a0000006bafe2542644ea24de5e1ddde9c9a5cb
427,1789484799.1815474,46700.0134746,122,1,7a00010049ee983516bc361f31e0026c642cd4a8
428,1789484799.1823378,46700.0142647,122,2,7a000200231618c5fa38e9fb01007a00642cd4a8
429,1789484799.2008843,46700.0328109,123,0,7b00000012b410445e2804a2cd507b1146971ed8
430,1789484799.2015362,46700.0334631,123,1,7b000100c73d37e851b371914de97f35bad0c904
431,1789484799.2023172,46700.034244,123,2,7b00020077fb3544d394e91502007b00bad0c904
432,1789484799.2208912,46700.052818,124,0,7c00000010bc5204c767b78289bdcd2d810e27a0
433,1789484799.2215514,46700.0534782,124,1,7c0001003617cceae4eceffd1425bfe162bcc982
434,1789484799.2222974,46700.0542242,124,2,7c000200b6cdc4fe4283694d02007c0062bcc982
435,1789484799.2408876,46700.0728143,125,0,7d00000010bd2b080954cff6242ab25e48262e55
436,1789484799.24153,46700.0734567,125,1,7d000100ea75ddf6d9843df6b9c20fb69ce7c01e
437,1789484799.2422965,46700.0742234,125,2,7d0002004a6f07296c65e95b04007d009ce7c01e
438,1789484799.260877,46700.0928035,126,0,7e00000077bc48a2bfda9e20a5fe6056945b2b4d
439,1789484799.2615175,46700.0934444,126,1,7e0001001fa90b035fc626a62e4874b68374e8e0
440,1789484799.2622967,46700.0942232,126,2,7e00020039dbfae5873ee98704007e008374e8e0
441,1789484799.280879,46700.1128059,127,0,7f000000f5bba3545f5460ee353f2e031c0af401
